,SD,SGG,NAME_AD,CODE,CODE_AD,YEAR,Y_R
178,서울특별시,은평구,불광2동,1112072,1138053000,2020,2.6208642
179,서울특별시,은평구,갈현1동,1112055,1138055100,2020,2.8487935
180,서울특별시,은평구,갈현2동,1112056,1138055200,2020,3.755444
181,서울특별시,은평구,구산동,1112057,1138056000,2020,3.9240282
182,서울특별시,은평구,대조동,1112058,1138057000,2020,2.7199707
183,서울특별시,은평구,응암1동,1112059,1138058000,2020,3.987049
184,서울특별시,은평구,응암2동,1112060,1138059000,2020,4.3913455
185,서울특별시,은평구,응암3동,1112073,1138060000,2020,2.6049252
186,서울특별시,은평구,역촌동,1112074,1138062500,2020,3.63429
187,서울특별시,은평구,신사1동,1112065,1138063100,2020,3.4168513
188,서울특별시,은평구,신사2동,1112066,1138063200,2020,3.8543139
189,서울특별시,은평구,증산동,1112067,1138064000,2020,3.6888962
190,서울특별시,은평구,수색동,1112068,1138065000,2020,2.8314416
191,서울특별시,은평구,진관동,1112071,1138069000,2020,7.2790327
192,서울특별시,서대문구,천연동,1113052,1141052000,2020,3.9452317
193,서울특별시,서대문구,북아현동,1113074,1141055500,2020,3.1639118
194,서울특별시,서대문구,충현동,1113073,1141056500,2020,3.0439274
195,서울특별시,서대문구,신촌동,1113075,1141058500,2020,2.0985777
196,서울특별시,서대문구,연희동,1113076,1141061500,2020,3.2849
197,서울특별시,서대문구,홍제1동,1113062,1141062000,2020,3.449466
198,서울특별시,서대문구,홍제3동,1113064,1141064000,2020,2.8991086
199,서울특별시,서대문구,홍제2동,1113065,1141065500,2020,3.5095587
200,서울특별시,서대문구,홍은1동,1113066,1141066000,2020,3.3583193
201,서울특별시,서대문구,홍은2동,1113068,1141068500,2020,3.5001483
202,서울특별시,서대문구,남가좌1동,1113069,1141069000,2020,5.52718
203,서울특별시,서대문구,남가좌2동,1113070,1141070000,2020,3.8914952
204,서울특별시,서대문구,북가좌1동,1113071,1141071000,2020,5.7335143
205,서울특별시,서대문구,북가좌2동,1113072,1141072000,2020,3.1846886
206,서울특별시,마포구,아현동,1114078,1144055500,2020,3.5108936
207,서울특별시,마포구,공덕동,1114077,1144056500,2020,2.6789587
208,서울특별시,마포구,도화동,1114075,1144058500,2020,3.7277157
209,서울특별시,마포구,용강동,1114059,1144059000,2020,5.659949
210,서울특별시,마포구,대흥동,1114060,1144060000,2020,2.6423316
211,서울특별시,마포구,염리동,1114061,1144061000,2020,4.984468
212,서울특별시,마포구,신수동,1114063,1144063000,2020,3.8618045
213,서울특별시,마포구,서강동,1114076,1144065500,2020,3.4518116
214,서울특별시,마포구,서교동,1114066,1144066000,2020,1.9601611
215,서울특별시,마포구,합정동,1114068,1144068000,2020,2.486313
216,서울특별시,마포구,망원1동,1114069,1144069000,2020,2.9105375
217,서울특별시,마포구,망원2동,1114070,1144070000,2020,3.9964237
218,서울특별시,마포구,연남동,1114071,1144071000,2020,2.2830503
219,서울특별시,마포구,성산1동,1114072,1144072000,2020,3.525075
220,서울특별시,마포구,성산2동,1114073,1144073000,2020,4.1909056
221,서울특별시,마포구,상암동,1114074,1144074000,2020,7.2360005
222,서울특별시,양천구,목1동,1115051,1147051000,2020,8.808493
223,서울특별시,양천구,목2동,1115052,1147052000,2020,3.7919238
224,서울특별시,양천구,목3동,1115053,1147053000,2020,2.931194
225,서울특별시,양천구,목4동,1115054,1147054000,2020,5.8333335
226,서울특별시,양천구,목5동,1115071,1147055000,2020,9.563165
227,서울특별시,양천구,신월1동,1115057,1147056000,2020,2.9238377
228,서울특별시,양천구,신월2동,1115058,1147057000,2020,4.1722813
229,서울특별시,양천구,신월3동,1115059,1147058000,2020,3.1679258
230,서울특별시,양천구,신월4동,1115060,1147059000,2020,4.6564145
231,서울특별시,양천구,신월5동,1115061,1147060000,2020,4.0682664
232,서울특별시,양천구,신월6동,1115062,1147061000,2020,4.2948794
233,서울특별시,양천구,신월7동,1115063,1147061100,2020,3.0147667
234,서울특별시,양천구,신정1동,1115064,1147062000,2020,7.869302
235,서울특별시,양천구,신정2동,1115065,1147063000,2020,7.4133286
