,SD,SGG,NAME_AD,CODE,CODE_AD,ALL,0_4,5_9,10_14,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85_89,90_94,95_99,100_,YEAR
62,서울특별시,성동구,성수2가3동,1104068,1120069000,11556.0,377.0,309.0,253.0,380.0,794.0,1200.0,1107.0,1021.0,708.0,890.0,934.0,1033.0,849.0,583.0,441.0,342.0,209.0,85.0,23.0,9.0,9.0,2018
63,서울특별시,성동구,송정동,1104069,1120072000,11267.0,331.0,299.0,303.0,416.0,742.0,967.0,899.0,931.0,769.0,963.0,1054.0,1117.0,870.0,570.0,414.0,324.0,183.0,76.0,28.0,4.0,7.0,2018
64,서울특별시,성동구,용답동,1104070,1120079000,14569.0,297.0,312.0,356.0,578.0,982.0,1284.0,1065.0,1060.0,1014.0,1353.0,1389.0,1377.0,1129.0,720.0,681.0,510.0,309.0,104.0,37.0,8.0,4.0,2018
65,서울특별시,광진구,화양동,1105053,1121571000,21441.0,272.0,259.0,257.0,537.0,3423.0,5002.0,2559.0,1680.0,1082.0,1151.0,1056.0,1034.0,977.0,686.0,576.0,449.0,271.0,93.0,40.0,19.0,18.0,2018
66,서울특별시,광진구,군자동,1105054,1121573000,19935.0,572.0,535.0,501.0,714.0,1694.0,2440.0,1915.0,1784.0,1284.0,1475.0,1465.0,1526.0,1308.0,874.0,750.0,594.0,327.0,115.0,42.0,12.0,8.0,2018
67,서울특별시,광진구,중곡1동,1105055,1121574000,16043.0,535.0,377.0,360.0,557.0,1016.0,1616.0,1663.0,1529.0,1085.0,1280.0,1246.0,1386.0,1167.0,735.0,665.0,475.0,198.0,99.0,34.0,11.0,9.0,2018
68,서울특별시,광진구,중곡2동,1105056,1121575000,22327.0,696.0,752.0,707.0,895.0,1462.0,2270.0,2106.0,2017.0,1510.0,1753.0,1841.0,1918.0,1509.0,1031.0,810.0,578.0,291.0,115.0,49.0,8.0,9.0,2018
69,서울특별시,광진구,중곡3동,1105057,1121576000,17604.0,520.0,448.0,504.0,696.0,1190.0,1562.0,1537.0,1482.0,1175.0,1443.0,1563.0,1657.0,1297.0,856.0,680.0,534.0,267.0,121.0,48.0,9.0,15.0,2018
70,서울특별시,광진구,중곡4동,1105058,1121577000,30782.0,996.0,876.0,878.0,1524.0,2220.0,2409.0,2355.0,2416.0,2067.0,2669.0,2853.0,2802.0,2310.0,1521.0,1262.0,870.0,432.0,207.0,63.0,25.0,27.0,2018
71,서울특별시,광진구,능동,1105059,1121578000,11558.0,386.0,287.0,237.0,364.0,747.0,1492.0,1526.0,1279.0,832.0,782.0,710.0,751.0,715.0,436.0,391.0,328.0,163.0,79.0,36.0,14.0,3.0,2018
72,서울특별시,광진구,광장동,1105063,1121581000,36139.0,1138.0,2417.0,3019.0,2783.0,2362.0,1882.0,1633.0,2614.0,3592.0,4445.0,2966.0,2268.0,1673.0,1047.0,762.0,692.0,490.0,233.0,90.0,23.0,10.0,2018
73,서울특별시,광진구,자양1동,1105064,1121582000,23295.0,616.0,589.0,776.0,978.0,1766.0,2455.0,2080.0,2050.0,1716.0,1901.0,1867.0,1886.0,1562.0,1034.0,798.0,664.0,335.0,142.0,52.0,15.0,13.0,2018
74,서울특별시,광진구,자양2동,1105065,1121583000,27038.0,931.0,1038.0,921.0,1279.0,1803.0,2196.0,2131.0,2471.0,2107.0,2259.0,2118.0,2315.0,2003.0,1261.0,945.0,641.0,367.0,164.0,61.0,17.0,10.0,2018
75,서울특별시,광진구,자양3동,1105066,1121584000,29811.0,1283.0,1458.0,1420.0,1515.0,1927.0,2197.0,2118.0,2557.0,2329.0,2627.0,2349.0,2453.0,2020.0,1162.0,845.0,690.0,495.0,255.0,75.0,27.0,9.0,2018
76,서울특별시,광진구,자양4동,1105067,1121584700,19360.0,481.0,411.0,406.0,655.0,1248.0,1649.0,1523.0,1546.0,1225.0,1569.0,1690.0,1894.0,1700.0,1160.0,883.0,701.0,379.0,155.0,49.0,22.0,14.0,2018
77,서울특별시,광진구,구의1동,1105060,1121585000,22517.0,642.0,469.0,523.0,906.0,1737.0,2836.0,2417.0,2072.0,1569.0,1818.0,1653.0,1703.0,1313.0,901.0,751.0,651.0,349.0,130.0,46.0,17.0,14.0,2018
78,서울특별시,광진구,구의2동,1105061,1121586000,27558.0,1000.0,1058.0,1123.0,1415.0,1776.0,1953.0,1990.0,2385.0,2117.0,2437.0,2283.0,2266.0,1894.0,1348.0,1062.0,724.0,448.0,179.0,59.0,17.0,24.0,2018
79,서울특별시,광진구,구의3동,1105062,1121587000,30151.0,1054.0,1086.0,1193.0,1591.0,2300.0,2626.0,2528.0,2484.0,2158.0,2707.0,2473.0,2435.0,1969.0,1210.0,889.0,687.0,422.0,229.0,81.0,22.0,7.0,2018
80,서울특별시,동대문구,용신동,1106081,1123053600,30452.0,789.0,730.0,690.0,951.0,2208.0,3075.0,2600.0,2566.0,2080.0,2352.0,2288.0,2635.0,2190.0,1560.0,1403.0,1204.0,691.0,269.0,101.0,48.0,22.0,2018
81,서울특별시,동대문구,제기동,1106082,1123054500,25099.0,576.0,627.0,628.0,900.0,1931.0,2166.0,1818.0,1743.0,1501.0,1865.0,1887.0,2170.0,2035.0,1578.0,1344.0,1176.0,682.0,318.0,94.0,38.0,22.0,2018
82,서울특별시,동대문구,전농1동,1106083,1123056000,30459.0,1095.0,978.0,877.0,1301.0,2190.0,2313.0,2008.0,2548.0,2105.0,2473.0,2475.0,2636.0,2314.0,1544.0,1366.0,1173.0,625.0,281.0,76.0,45.0,36.0,2018
83,서울특별시,동대문구,전농2동,1106084,1123057000,19946.0,655.0,808.0,875.0,1096.0,1245.0,1244.0,1058.0,1522.0,1462.0,1851.0,1679.0,1664.0,1446.0,1048.0,839.0,734.0,477.0,169.0,58.0,7.0,9.0,2018
84,서울특별시,동대문구,답십리1동,1106091,1123060000,29048.0,1614.0,1279.0,959.0,1128.0,1777.0,2209.0,2608.0,3097.0,2308.0,2306.0,2187.0,2151.0,1765.0,1154.0,937.0,783.0,475.0,182.0,73.0,30.0,26.0,2018
85,서울특별시,동대문구,답십리2동,1106086,1123061000,28670.0,910.0,969.0,978.0,1366.0,1789.0,1994.0,1825.0,2154.0,2051.0,2511.0,2462.0,2558.0,2214.0,1550.0,1278.0,1084.0,602.0,257.0,86.0,12.0,20.0,2018
86,서울특별시,동대문구,장안1동,1106087,1123065000,38588.0,1435.0,1356.0,1338.0,1518.0,2317.0,2885.0,3004.0,3708.0,3110.0,3276.0,2936.0,3240.0,2917.0,1984.0,1544.0,1086.0,541.0,235.0,101.0,37.0,20.0,2018
87,서울특별시,동대문구,장안2동,1106088,1123066000,31368.0,1241.0,1550.0,1422.0,1515.0,1760.0,1849.0,2028.0,2988.0,2800.0,2841.0,2343.0,2456.0,2300.0,1507.0,1178.0,849.0,435.0,172.0,89.0,32.0,13.0,2018
88,서울특별시,동대문구,청량리동,1106080,1123070500,21838.0,476.0,584.0,568.0,795.0,1262.0,1393.0,1333.0,1360.0,1298.0,1692.0,1806.0,2191.0,2062.0,1494.0,1323.0,1118.0,632.0,295.0,108.0,22.0,26.0,2018
89,서울특별시,동대문구,회기동,1106071,1123071000,10356.0,241.0,311.0,302.0,448.0,1415.0,1446.0,867.0,757.0,656.0,720.0,610.0,584.0,563.0,391.0,362.0,351.0,184.0,83.0,45.0,8.0,12.0,2018
90,서울특별시,동대문구,휘경1동,1106072,1123072000,12932.0,296.0,278.0,302.0,533.0,1266.0,1494.0,972.0,946.0,801.0,1014.0,989.0,988.0,839.0,694.0,581.0,485.0,271.0,124.0,37.0,14.0,8.0,2018
91,서울특별시,동대문구,휘경2동,1106073,1123073000,24561.0,676.0,843.0,958.0,1296.0,2580.0,2449.0,1563.0,1718.0,1691.0,2026.0,1854.0,1749.0,1642.0,1176.0,937.0,738.0,397.0,179.0,58.0,21.0,10.0,2018
