,SGG_cd,SD,SGG,ALL,N_AGING,A_R,N_YOUNG,Y_R
175,3639,전라남도,강진군,36868.0,11773.0,31.93,3529.0,9.57
176,3640,전라남도,해남군,73604.0,21862.0,29.7,7785.0,10.58
177,3641,전라남도,영암군,47989.0,13300.0,27.71,5144.0,10.72
178,3642,전라남도,무안군,50209.0,15106.0,30.09,3836.0,7.64
179,3643,전라남도,함평군,34328.0,11447.0,33.35,2882.0,8.4
180,3644,전라남도,영광군,54581.0,14944.0,27.38,5844.0,10.71
181,3645,전라남도,장성군,46111.0,12805.0,27.77,5042.0,10.93
182,3646,전라남도,완도군,51047.0,15418.0,30.2,5301.0,10.38
183,3647,전라남도,진도군,31103.0,9936.0,31.95,2983.0,9.59
184,3648,전라남도,신안군,38747.0,13070.0,33.73,2677.0,6.91
185,3701,경상북도,포항시남구,513169.0,72713.0,14.17,67755.0,13.2
186,3702,경상북도,경주시,257903.0,50780.0,19.69,28630.0,11.1
187,3703,경상북도,김천시,142908.0,29536.0,20.67,17145.0,12.0
188,3704,경상북도,안동시,166272.0,35948.0,21.62,19806.0,11.91
189,3705,경상북도,구미시,421799.0,33605.0,7.97,68691.0,16.29
190,3706,경상북도,영주시,108371.0,25541.0,23.57,11893.0,10.97
191,3707,경상북도,영천시,100615.0,25940.0,25.78,9286.0,9.23
192,3708,경상북도,상주시,98342.0,27496.0,27.96,9493.0,9.65
193,3709,경상북도,문경시,71285.0,19166.0,26.89,7127.0,10.0
194,3710,경상북도,경산시,259485.0,38370.0,14.79,33616.0,12.95
195,3731,경상북도,군위군,24215.0,8898.0,36.75,1339.0,5.53
196,3732,경상북도,의성군,53474.0,20289.0,37.94,3285.0,6.14
197,3733,경상북도,청송군,26006.0,8773.0,33.73,1796.0,6.91
198,3734,경상북도,영양군,17479.0,5963.0,34.12,1364.0,7.8
199,3735,경상북도,영덕군,35968.0,12114.0,33.68,2921.0,8.12
200,3736,경상북도,청도군,40456.0,13652.0,33.75,2660.0,6.58
201,3737,경상북도,고령군,33768.0,9253.0,27.4,3040.0,9.0
202,3738,경상북도,성주군,45138.0,12839.0,28.44,3391.0,7.51
203,3739,경상북도,칠곡군,120864.0,16166.0,13.38,17878.0,14.79
204,3740,경상북도,예천군,49253.0,15458.0,31.38,5272.0,10.7
205,3741,경상북도,봉화군,33259.0,10946.0,32.91,2692.0,8.09
206,3742,경상북도,울진군,50263.0,12557.0,24.98,5263.0,10.47
207,3743,경상북도,울릉군,9480.0,2073.0,21.87,705.0,7.44
208,3803,경상남도,진주시,346681.0,51488.0,14.85,47971.0,13.84
209,3805,경상남도,통영시,135833.0,22054.0,16.24,19147.0,14.1
210,3806,경상남도,사천시,114252.0,22118.0,19.36,15278.0,13.37
211,3807,경상남도,김해시,532132.0,51219.0,9.63,85051.0,15.98
212,3808,경상남도,밀양시,106561.0,26204.0,24.59,10395.0,9.75
213,3809,경상남도,거제시,250214.0,21020.0,8.4,45718.0,18.27
214,3810,경상남도,양산시,338535.0,38921.0,11.5,53084.0,15.68
